fiber_node;address;coordinate
FGA011;SIWARAK RESIDENCE (1);-7.1452,110.396034
FSK073;PADANGSARI AREA (6);-7.074437,110.423243
FPD098;PERUM TELAGA KENCANA CLUSTER;-6.999613,110.479331
FSK074;SEKARAN AREA (1);-7.034085,110.401461
FGA007;BUKIT PERMATA REGENCY (1);-7.1131,110.399074
FSU038;TAWANGSARI AREA (3);-6.971442,110.3847779
FPD099;GRAHA METRO METESEH (1);-7.059667,110.476377
FPD103;PLAMONGANSARI AREA (1);-7.0175616,110.490595
FSU036;PURI EKSEKUTIF (1);-6.965396,110.386214
FSU039;TAWANGSARI AREA (4);-6.9697769,110.38540601
FSU040;TAWANGSARI AREA (5);-6.967709,110.385703
FOT034;RANDUGUNTING AREA (5);-6.87515,109.133868
FOT049;DORAN PARK RESIDENCE;-6.891123,109.150113
FOT046;GRIYA BTN (1);-6.863766,109.123555
FOT047;GRIYA BTN (2);-6.863372,109.122984
FOT048;GRIYA BARUNA ASRI;-6.861188,109.123622
FOT050;PERUM ARUM INDAH (1);-6.878771,109.1295787
FSU041;TAWANGSARI AREA (6);-6.962545,110.391929
FPD105;PLAMONGANSARI AREA (3);-7.010347,110.492968
FPD104;PLAMONGANSARI AREA (2);-7.016136,110.491174
FPD108;PLAMONGANSARI AREA (4);-7.007271,110.493688
FPD109;PEDURUNGAN TENGAH AREA (5);-6.99728,110.470093
FSK082;METESEH AREA (5);-7.054779,110.463977
FGA015;GEDANGANAK AREA (1);-7.149243,110.421712
FGA016;GEDANGANAK AREA (2);-7.150375,110.419698
FPD110;PEDURUNGAN TENGAH AREA (6);-6.999542,110.471015
FGA005;VILLA SAPEN INDAH (1);-711,288,311,040,442
FPD083;MANGUNHARJO AREA (1);-7.042703,110.45667
FGA017;GRIYA SEWAKUL INDAH (1);-7.110982,110.407503
FPD113;SENDANG GUWO AREA (16);-7.010933,110.451804
FOT053;NDALEM SAMIAJI;-6.882939,109.112911
FOT051;PERUM ARUM INDAH (2);-6.879647,109.1295288
FPD084;MANGUNHARJO AREA (2);-7.041383,110.453927
FPD111;PEDURUNGAN LOR AREA (1);-7.010547,110.476598
FPD112;PEDURUNGAN LOR AREA (2);-7.007593,110.476375
FGA019;GEDANGANAK AREA (3);-7.146411,110.414572
FOT052;PERUM ARUM INDAH (3);-6.8819055,109.1293977
FOT057;PANGGUNG AREA (3);-6.867551,109.145627
